beta,exact,FA
7,0.9959802937261945,0.9965105056762695
12,0.984428649574789,0.9852418899536133
17,0.9736936474846144,0.9744976162910461
23,0.9633012254541012,0.9660547971725464
28,0.9563850770469594,0.9563379287719727
