beta,exact,FA
5,0.9987485370048285,0.9998271465301514
10,0.9891983268590409,0.9891753196716309
15,0.9777515697268231,0.9776044487953186
20,0.9681814068991201,0.9688873291015625
25,0.9603645308274785,0.9608055949211121
